message_text,category
"Hi, Schedule installation for 2025-02-21 at 9071 Cedar Blvd, San Francisco 33101 thanks.",order
Place an order for international channels package!,order
"Hello, What is the early termination fee? please.",inquiry
"Hello, Billing shows extra charges for April urgent",complaint
"Hey, I want to order Premium plan!",order
Please upgrade my package to Fiber 500 urgent!,order
"Hello, Which channels are included in family package? thanks...",inquiry
"Hey, Is there a contract for 6 months? urgent...",inquiry
"Hi, Billing shows extra charges for December please!",complaint
"Hey, Sign me up for Basic with multi-room DVR urgent...",order
"Hey, My TV signal keeps dropping!",complaint
"Very slow speed, I'm getting only 100 Mbps urgent.",complaint
"Hello, Can I pause service while I'm away?...",inquiry
"Hello, Internet is down since 6:15 PM urgent",complaint
"Hi, My TV signal keeps dropping urgent!",complaint
"Hey, My TV signal keeps dropping urgent!",complaint
"Hi, Start a new service at 6510 Pine Rd, Dallas 94107 on 2025-06-19 asap",order
Is there a contract for 12 months? urgent.,inquiry
"Hey, Remote not working and the box keeps restarting asap.",complaint
"Hello, Which channels are included in news package? asap.",inquiry
Can I add international pack to my subscription? asap,order
"Hey, Sign me up for Basic with HBO!",order
"Hey, I want to order Premium plan urgent.",order
Which channels are included in movies package? asap!,inquiry
Place an order for news channels package please!,order
My TV signal keeps dropping...,complaint
"Hi, Order ID #8987: confirm activation thanks",order
Can I pause service while I'm away? please.,inquiry
"Hello, Do you have student discounts? asap...",inquiry
My TV signal keeps dropping please...,complaint
"Hello, Very slow speed, I'm getting only 200 Mbps urgent...",complaint
"Hi, Frequent outages in my area 10001 urgent...",complaint
"Hi, Can I pause service while I'm away? thanks.",inquiry
"Hi, Please upgrade my package to Fiber 500 thanks!",order
"Hey, Start a new service at 6514 Elm St, Houston 94107 on 2025-01-27 thanks!",order
"Hi, No channels after payment, please fix please!",complaint
"Hello, How long does installation take? thanks!",inquiry
How long does installation take? please.,inquiry
"Hey, Please upgrade my package to Standard asap...",order
"Hello, Sign me up for Standard with international pack asap.",order
"Hello, What are the prices for Fiber 500 plan? please.",inquiry
"Hello, Very slow speed, I'm getting only 100 Mbps asap...",complaint
"Hey, Place an order for international channels package please...",order
"Hey, I'd like a new connection at 1123 Oak Ave, San Francisco 10001.",order
"Hello, Do you have student discounts? thanks.",inquiry
I'd like to order a set-top box for bedroom asap...,order
"Hey, I'd like a new connection at 3167 Oak Ave, San Francisco 60601 urgent",order
Cable line is damaged outside my house asap,complaint
Technician didn't arrive for the appointment!,complaint
"Hello, Schedule installation for 2025-04-07 at 9351 Oak Ave, Chicago 85001 asap...",order
"Hey, I'd like a new connection at 3975 Pine Rd, Phoenix 10001 urgent.",order
"Hey, Do you have student discounts? please...",inquiry
"Hello, I want to order Sports Max plan asap",order
"Hello, Do you service 94107?",inquiry
"Hello, Remote not working and the box keeps restarting",complaint
"Hi, Schedule installation for 2025-02-01 at 2862 Pine Rd, Dallas 10001 urgent.",order
I'd like to order a set-top box for living room asap...,order
"Hello, What's the data cap on Basic? thanks!",inquiry
What's the data cap on Basic? urgent...,inquiry
"Hello, What's the data cap on Gigabit?!",inquiry
"Hello, I'd like to order a set-top box for living room urgent...",order
"Hello, Please upgrade my package to Premium urgent.",order
"Hello, Can I pause service while I'm away? thanks...",inquiry
