Message,Label
change my delivery time to evening 7pm.,Logistics
CAN YOU SEND SOME PHOTOS OF THE NEW SALT STOCK?,Inquiry
Nice products.,Irrelevant
kal wala same order repeat kar do.,Ordering
"I'll be home after 5pm, send then.",Logistics
I ordered Pulses but you sent Salt instead. Please check.,Complaint
Kal shop open hai kya?,Inquiry
add one aata to my basket also.,Ordering
"wait for 5 mins, i'm reaching home.",Logistics
"Mujhe Honey chahiye, kitne ka hai?",Ordering
WAIT.,Irrelevant
"Mujhe Maggi chahiye, kitne ka hai?",Ordering
Is there a fresh stock of Biscuits?,Inquiry
Price list bhej do please.,Inquiry
"Order for Main Road Shop: Rice, Coke 2L, and sugar.",Ordering
Is there a fresh stock of Butter?,Inquiry
OTP kya hai delivery ka?,Logistics
"check if rice is in stock, need 3 pieces.",Ordering
ek packet rice bhej do ghar pe.,Ordering
Add one Bread to my basket also.,Ordering
Do you deliver in Civil Lines area?,Inquiry
AAPKA DELIVERY BOY BAHUT RUDE HAI.,Complaint
Wrong item delivered 😡,Complaint
GPay chalega ya sirf cash?,Inquiry
"Order for Metro Station: Soap, Paneer, and sugar.",Ordering
The Detergent is leaking.,Complaint
Can you pack 2 units of Paneer? I'll pick it up in 10 mins.,Ordering
"FRUIT SAARE SADE HUE HAIN, PLEASE REPLACE THEM.",Complaint
The boy didn't give back the change.,Complaint
delivery boy ka number do.,Logistics
bhaiya gate pe de dena order.,Logistics
"mujhe butter chahiye, kitne ka hai?",Ordering
1 box Butter deliver karwa do.,Ordering
check this video,Logistics
Gm,Irrelevant
Shop kab khulegi?,Logistics
do you have potatoes brand or local one?,Logistics
1 box Sugar deliver karwa do.,Irrelevant
bhaiya honey pack kardo.,Inquiry
where is my order? bahut late ho gaya.,Inquiry
noted.,Ordering
"check if Paneer is in stock, need 3 pieces.",Ordering
Ek packet Tea bhej do ghar pe.,Logistics
Is there a fresh stock of Paneer?,Irrelevant
add one shampoo to my basket also.,Ordering
haath jod kar namaste,Ordering
is there a fresh stock of honey?,Inquiry
Worst service ever for Potatoes.,Ordering
"Shampoo kharab nikla, replace karo.",Irrelevant
sent a photo.,Irrelevant
"CHECK IF PULSES IS IN STOCK, NEED 3 PIECES.",Inquiry
ek packet bread bhej do ghar pe.,Complaint
"Milk was curdled, very bad experience.",Complaint
Expired Soap bhej diya aapne.,Irrelevant
Ek packet Sugar bhej do ghar pe.,Ordering
"Mujhe Detergent chahiye, kitne ka hai?",Ordering
???,Complaint
The Biscuits is leaking.,Complaint
ek packet pulses bhej do ghar pe.,Ordering
Worst service ever for Maggi.,Ordering
Worst service ever for Coke 2L.,Irrelevant
do you have Tea brand or local one?,Complaint
Add one Detergent to my basket also.,Ordering
Left the money with the guard.,Complaint
DO YOU HAVE RICE IN STOCK?,Inquiry
Need Bread and Potatoes at Pocket B fast.,Complaint
price zyada lagaya hai bill mein.,Complaint
Happy Birthday!,Inquiry
GOOD MORNING 🙏,Ordering
how are you?,Logistics
"I am not at home, please deliver at Cross Road.",Inquiry
"Don't ring the bell, baby is sleeping.",Ordering
Change address to Building 7.,Irrelevant
bhaiya sugar pack kardo.,Complaint
Discount milega bulk order pe?,Irrelevant
can you send some photos of the new curd stock?,Irrelevant
add one rice to my basket also.,Irrelevant
"Order for Green Apartments: Coke 2L, Sugar, and sugar.",Logistics
can you send some photos of the new bread stock?,Ordering
"i am not at home, please deliver at green apartments.",Logistics
done.,Logistics
THE OIL IS LEAKING.,Ordering
Milk hai kya? 2 packet bhej do.,Inquiry
Gn,Inquiry
ok,Ordering
"curd kharab nikla, replace karo.",Inquiry
do 1kg salt and 500g salt urgently.,Ordering
Thanks,Inquiry
Change address to Sector 15.,Logistics
Jay Jinendra,Irrelevant
Salt hai kya? 2 packet bhej do.,Complaint
expired eggs bhej diya aapne.,Inquiry
K,Ordering
Worst service ever for Sugar.,Irrelevant
bhaiya maggi pack kardo.,Irrelevant
radhe radhe,Complaint
Items are missing from my bag. Biscuits nahi hai isme.,Logistics
can you pack 2 units of tea? i'll pick it up in 10 mins.,Ordering
PLEASE SEND 2 PANEER TO SECTOR 15.,Irrelevant
Items are missing from my bag. Pulses nahi hai isme.,Logistics
Can you pack 2 units of Potatoes? I'll pick it up in 10 mins.,Logistics
👍,Irrelevant
Packaging was torn.,Ordering
"location send kar raha hoon, yahan bhej do.",Complaint
What are the shop timings today?,Logistics
see you.,Irrelevant
Please send 2 Eggs to Pocket B.,Ordering
do you have sugar in stock?,Logistics
Butter hai kya? 2 packet bhej do.,Irrelevant
DO YOU HAVE PULSES IN STOCK?,Complaint
the honey is leaking.,Irrelevant
"check if Milk is in stock, need 3 pieces.",Complaint
do you deliver in park view area?,Ordering
Please send 2 Soap to Flat 102.,Irrelevant
Where is your shop located exactly?,Complaint
Do you deliver in Metro Station area?,Ordering
1 BOX SHAMPOO DELIVER KARWA DO.,Ordering
"I AM NOT AT HOME, PLEASE DELIVER AT POCKET B.",Complaint
Add one Salt to my basket also.,Complaint
Ek packet Oil bhej do ghar pe.,Ordering
Can you send some photos of the new Oil stock?,Irrelevant
Expired Oil bhej diya aapne.,Complaint
Send Soap and Pulses to Park View by evening.,Logistics
do you have oil brand or local one?,Inquiry
do you deliver in building 7 area?,Irrelevant
Oil ka price kya hai?,Ordering
Hello,Complaint
I ORDERED CURD BUT YOU SENT SALT INSTEAD. PLEASE CHECK.,Inquiry
Ek packet Soap bhej do ghar pe.,Ordering
"Order for Cross Road: Oil, Sugar, and sugar.",Inquiry
"Coffee kharab nikla, replace karo.",Complaint
Do you deliver in Market Area area?,Ordering
DO YOU HAVE DETERGENT BRAND OR LOCAL ONE?,Inquiry
Change address to Civil Lines.,Ordering
Refund kab aayega? Payment ho gaya tha.,Irrelevant
"Order for Building 7: Sugar, Honey, and sugar.",Inquiry
ek packet milk bhej do ghar pe.,Irrelevant
"Honey kharab nikla, replace karo.",Irrelevant
ADD ONE MILK TO MY BASKET ALSO.,Inquiry
Please send 2 Potatoes to Flat 102.,Logistics
Need Oil and Aata at Sector 15 fast.,Irrelevant
1 box tea deliver karwa do.,Inquiry
Worst service ever for Bread.,Ordering
worst service ever for biscuits.,Logistics
items are missing from my bag. oil nahi hai isme.,Ordering
please send 2 maggi to lane 4.,Ordering
change address to main road shop.,Irrelevant
expired coffee bhej diya aapne.,Complaint
"check if soap is in stock, need 3 pieces.",Complaint
Items are missing from my bag. Curd nahi hai isme.,Inquiry
Need Aata and Bread at Tower A fast.,Complaint
need honey and honey at cross road fast.,Ordering
please call before reaching cross road.,Complaint
i ordered coke 2l but you sent rice instead. please check.,Inquiry
sugar hai kya? 2 packet bhej do.,Logistics
"check if Coffee is in stock, need 3 pieces.",Inquiry
Maggi ka price kya hai?,Inquiry
AATA HAI KYA? 2 PACKET BHEJ DO.,Irrelevant
EK PACKET SALT BHEJ DO GHAR PE.,Complaint
CAN YOU SEND SOME PHOTOS OF THE NEW HONEY STOCK?,Irrelevant
Please call before reaching Main Road Shop.,Ordering
Add one Pulses to my basket also.,Ordering
SHAMPOO KA PRICE KYA HAI?,Complaint
Will you deliver today or tomorrow?,Inquiry
coffee ka price kya hai?,Inquiry
Add one Eggs to my basket also.,Logistics
do 1kg shampoo and 500g salt urgently.,Complaint
can you pack 2 units of rice? i'll pick it up in 10 mins.,Ordering
"Order for Lane 4: Paneer, Salt, and sugar.",Ordering
do you have eggs brand or local one?,Complaint
do you have Pulses brand or local one?,Irrelevant
"check if Curd is in stock, need 3 pieces.",Ordering
Expired Potatoes bhej diya aapne.,Ordering
1 box eggs deliver karwa do.,Ordering
Expired Aata bhej diya aapne.,Ordering
i ordered rice but you sent tea instead. please check.,Complaint
please send 2 rice to tower a.,Ordering
Ek packet Shampoo bhej do ghar pe.,Inquiry
THE PANEER IS LEAKING.,Inquiry
Need Maggi and Maggi at Cross Road fast.,Complaint
"check if shampoo is in stock, need 3 pieces.",Complaint
Do you have Honey in stock?,Ordering
Can you send some photos of the new Detergent stock?,Irrelevant
is there a fresh stock of aata?,Logistics
Expired Rice bhej diya aapne.,Complaint
1 box biscuits deliver karwa do.,Ordering
change address to park view.,Complaint
"Order for Near SBI Bank: Soap, Coffee, and sugar.",Ordering
items are missing from my bag. detergent nahi hai isme.,Ordering
Do you deliver in Huda Colony area?,Inquiry
can you pack 2 units of honey? i'll pick it up in 10 mins.,Logistics
Items are missing from my bag. Soap nahi hai isme.,Complaint
Bhaiya Shampoo pack kardo.,Ordering
Bhaiya Aata pack kardo.,Complaint
I ordered Rice but you sent Coffee instead. Please check.,Ordering
"Order for Cross Road: Oil, Salt, and sugar.",Inquiry
Worst service ever for Curd.,Ordering
Coffee hai kya? 2 packet bhej do.,Ordering
do 1kg Bread and 500g Detergent urgently.,Complaint
Please call before reaching Huda Colony.,Irrelevant
do you deliver in main road shop area?,Ordering
Do you take credit cards?,Logistics
Expired Pulses bhej diya aapne.,Inquiry
"Mujhe Biscuits chahiye, kitne ka hai?",Irrelevant
Need Bread and Maggi at Green Apartments fast.,Logistics
"Mujhe Sugar chahiye, kitne ka hai?",Ordering
I ordered Curd but you sent Milk instead. Please check.,Inquiry
CAN YOU SEND SOME PHOTOS OF THE NEW PULSES STOCK?,Irrelevant
The Coffee is leaking.,Logistics
Is there a fresh stock of Potatoes?,Inquiry
"I am not at home, please deliver at Sector 15.",Inquiry
"I am not at home, please deliver at Main Road Shop.",Ordering
Ek packet Detergent bhej do ghar pe.,Inquiry
Bhaiya Rice pack kardo.,Ordering
"Mujhe Aata chahiye, kitne ka hai?",Logistics
do 1kg tea and 500g milk urgently.,Ordering
Send Paneer and Maggi to Cross Road by evening.,Logistics
1 box Potatoes deliver karwa do.,Ordering
Is there a fresh stock of Shampoo?,Inquiry
Is there a fresh stock of Maggi?,Complaint
Can you pack 2 units of Detergent? I'll pick it up in 10 mins.,Inquiry
Expired Detergent bhej diya aapne.,Ordering
1 box Salt deliver karwa do.,Complaint
I ordered Coke 2L but you sent Milk instead. Please check.,Ordering
"i am not at home, please deliver at tower a.",Logistics
Add one Maggi to my basket also.,Complaint
Need Milk and Soap at Park View fast.,Complaint
IS THERE A FRESH STOCK OF TEA?,Complaint
Please send 2 Pulses to Park View.,Ordering
